at work,-0.214489368,0
back to work,-0.209717058,0
to work,-0.191494441,0
blessed,-0.186391302,0
beer,-0.160078643,0
birthday wishes,-0.15895111,0
to all my,-0.157828586,0
my son,-0.157424185,0
wishes,-0.154531391,0
husband,-0.154367806,0
family and friends,-0.154267162,0
enjoying,-0.1537175,0
my kids,-0.15290116,0
thankful,-0.152629481,0
a wonderful,-0.152450037,0
daughter,-0.151279081,0
blessing,-0.149893821,0
wonderful,-0.149209123,0
wine,-0.14842979,0
prayers,-0.147650603,0
day to all,-0.147519328,0
my daughter,-0.143640815,0
day off,-0.142182845,0
hubby,-0.142084526,0
laundry,-0.137772435,1.54E-304
the kids,-0.137745243,5.21E-305
blessings,-0.137517247,0
work,-0.137209614,0
beautiful day,-0.137022124,4.05E-302
new job,-0.135888955,4.77E-301
safe,-0.134957723,9.27E-295
days off,-0.134041006,3.58E-292
thankful for,-0.133532411,7.82E-285
fb friends,-0.131488407,2.68E-279
son,-0.13122418,9.77E-281
office,-0.130435834,2.59E-277
a beautiful,-0.130428352,1.28E-272
friends and family,-0.130401797,1.59E-274
care of,-0.129511677,2.13E-270
my husband,-0.128557934,1.83E-261
repost,-0.127703005,3.25E-262
prayer,-0.126721118,6.82E-260
company,-0.125359249,8.60E-256
evening,-0.125350999,8.06E-255
women,-0.125181297,5.24E-255
re-post,-0.124811788,1.32E-250
blessed to,-0.124555231,6.90E-249
repost if,-0.124470302,3.06E-249
a blessing,-0.12370302,5.19E-247
work today,-0.123659815,6.73E-248
apartment,-0.122808321,5.47E-245
to work tomorrow,-0.121413056,1.62E-238
go to work,-0.119946509,5.05E-233
repost if you,-0.119398564,1.34E-229
the birthday wishes,-0.119216554,4.36E-229
paste this to,-0.119172188,4.70E-228
my job,-0.118490598,1.11E-227
celebrate,-0.118333912,1.97E-226
from work,-0.117313952,5.56E-223
this morning,-0.116940374,7.25E-219
woman,-0.116898519,7.09E-221
bless,-0.116696371,1.82E-220
have a wonderful,-0.116646866,2.40E-217
a beautiful day,-0.115985822,7.12E-216
enjoy,-0.11578696,3.20E-217
drinks,-0.115714265,2.67E-217
work tomorrow,-0.115545318,1.28E-215
day at work,-0.113879102,4.75E-210
makes your life,-0.113492765,4.85E-207
my hubby,-0.113285072,1.08E-203
job,-0.113205766,1.04E-207
grateful,-0.113020009,2.33E-205
please copy,-0.112916714,6.68E-206
thank,-0.112451156,9.34E-201
off work,-0.112022087,5.31E-203
:-),-0.111875995,2.15E-202
bills,-0.111102223,4.98E-200
off to work,-0.110762806,2.79E-198
let me know,-0.109956392,1.48E-195
ready to,-0.109909651,1.43E-193
families,-0.109832729,1.03E-194
everyone for,-0.10982838,9.58E-194
enjoying the,-0.109534007,7.38E-194
", copy and",-0.109495471,1.00E-191
tax,-0.108677137,3.06E-191
support,-0.108308393,8.95E-190
taxes,-0.108197892,1.35E-189
wishing,-0.10771441,3.64E-185
area,-0.107684835,9.04E-188
re-post if,-0.107518558,3.34E-185
pay,-0.10736561,1.24E-186
visit,-0.107283292,1.92E-184
safe and,-0.107202283,6.26E-185
blessed to have,-0.10696083,5.95E-183
birthday wishes !,-0.106318739,1.65E-180
heart for a,-0.106249112,2.08E-181
at work .,-0.10618838,2.19E-182
shift,-0.106143563,2.45E-182
daughters,-0.106009419,7.50E-181
drink,-0.105970474,9.92E-182
:D,0.309759441,0
XD,0.299062275,0
<3,0.296703783,0
school tomorrow,0.271268055,0
(:,0.266456044,0
homework,0.262876238,0
school,0.248012707,0
:P,0.237872975,0
haha,0.232237797,0
d:,0.22608898,0
like this status,0.223235399,0
no school,0.223051664,0
english,0.220288816,0
prom,0.220238293,0
ap,0.205800705,0
: o,0.198219338,0
bored,0.197179846,0
homecoming,0.196738405,0
:/,0.195012984,0
go to school,0.194824943,0
:'(,0.191977988,0
im,0.18990931,0
math,0.183973819,0
essay,0.183902109,0
senior,0.182944059,0
: l,0.181103291,0
like my status,0.18102811,0
;D,0.180513672,0
to school tomorrow,0.176590691,0
this status,0.174059519,0
<,0.173766848,0
:],0.172452967,0
o.o,0.171209207,0
-.-,0.170115313,0
this status and,0.166530894,0
:),0.165242721,0
status and i'll,0.164944538,0
maths,0.164558936,0
like about you,0.164247305,0
chemistry,0.162188686,0
< / 3,0.162134647,0
song,0.161950342,0
:d <3,0.160890059,0
idk,0.160698297,0
i like about,0.160439929,0
/ 3,0.158734288,0
-_-,0.158664332,0
i'll tell you,0.158396806,0
i'll tell,0.158319381,0
soo,0.157028314,0
after school,0.156217905,0
bieber,0.154960385,0
and i'll tell,0.154486958,0
:(,0.154398581,0
>:(,0.152139749,0
at school,0.151574146,0
like this,0.151543837,0
>.<,0.150552386,0
i hate,0.150513173,0
physics,0.150172139,0
: 3,0.148865058,0
today was,0.14878071,0
random,0.147334976,0
justin bieber,0.146634344,0
biology,0.146558657,0
first impression,0.145946706,0
justin,0.145437823,0
seniors,0.144266228,0
-8,0.144096225,0
my status and,0.143649782,0
hate,0.143443595,0
hw,0.142883331,0
camp,0.142604633,0
status and see,0.14254209,0
ipod,0.142145076,0
wanna,0.141283053,0
chem,0.140109036,0
pokemon,0.140069738,0
stupid,0.139765889,0
