daughter,-0.104494283,3.40E-173
my kids,-0.101934509,5.81E-166
my son,-0.097756726,2.17E-153
copy and,-0.095371881,1.01E-145
copy and paste,-0.094303559,2.04E-142
my daughter,-0.093775787,2.11E-140
the kids,-0.093404872,9.64E-139
and paste,-0.093222092,3.96E-139
kids,-0.091081717,3.11E-132
and paste this,-0.090534946,4.86E-131
paste,-0.090179196,4.61E-130
your status,-0.090109808,5.25E-130
copy,-0.089513869,1.16E-128
paste this,-0.089099942,7.85E-127
this to your,-0.088967116,3.49E-126
fb friends,-0.087472128,4.13E-122
repost,-0.08649106,7.08E-119
school tomorrow,-0.085239718,5.17E-116
to your status,-0.082680774,8.75E-109
this on your,-0.08225743,1.32E-107
post,-0.081712736,5.84E-107
status and,-0.081627466,1.37E-106
put this,-0.08115195,3.88E-105
status for,-0.081125077,3.36E-105
paste this to,-0.080644448,4.35E-103
children,-0.079608445,9.42E-101
school,-0.079530741,9.90E-101
this as,-0.07837477,5.70E-98
kids are,-0.078190373,6.38E-97
status if,-0.077823526,1.70E-96
your status for,-0.077737097,2.36E-96
as your status,-0.077281221,4.26E-95
on your status,-0.076722175,1.98E-93
put this on,-0.076584219,3.79E-93
no school,-0.076430714,3.77E-93
this as your,-0.076263765,1.47E-92
as your,-0.076050537,4.56E-92
family and friends,-0.076023374,3.50E-91
status if you,-0.075500664,1.08E-90
your wall,-0.074184314,3.69E-87
your status if,-0.074033542,7.35E-87
. copy and,-0.073902083,8.51E-87
copy &,-0.073616046,5.95E-86
post this,-0.073421855,3.45E-85
re-post,-0.073390486,6.30E-85
please copy,-0.073365122,1.70E-85
husband,-0.072962231,3.20E-82
heart for a,-0.072910291,3.59E-84
if you agree,-0.072068577,1.91E-82
to all my,-0.071865366,4.87E-82
your status and,-0.071768896,8.34E-82
you agree,-0.071327299,9.67E-81
. i am,-0.070841291,2.87E-79
ap,-0.070658399,1.88E-79
prom,-0.070572054,5.00E-79
. if you,-0.070472916,6.03E-79
your status .,-0.070306606,3.97E-78
if you have,-0.070172231,2.79E-77
daughters,-0.069933909,2.41E-77
repost this,-0.06962563,2.48E-76
", copy and",-0.069554391,6.77E-76
parent,-0.068865874,9.30E-75
homecoming,-0.068847822,4.17E-75
your heart for,-0.068642081,2.77E-74
& paste,-0.068364522,8.36E-74
son,-0.068163708,9.21E-74
your hand for,-0.067932476,8.41E-73
will hold your,-0.067907427,1.06E-72
copy & paste,-0.067774609,1.70E-72
& paste this,-0.067406442,9.01E-72
a cure,-0.067127713,6.06E-71
honor,-0.066947741,6.76E-71
to your wall,-0.066611399,5.90E-70
son's,-0.066236466,3.39E-69
we have,-0.066034134,1.21E-68
you know someone,-0.065289264,2.79E-67
repost if,-0.065286451,1.18E-66
status,-0.065185445,4.07E-67
copy this,-0.065110595,6.45E-67
for a lifetime,-0.065053747,1.42E-66
please copy and,-0.064955681,1.79E-66
makes your life,-0.064913573,5.09E-66
let's see,-0.064739546,4.15E-66
hold your heart,-0.064404002,3.73E-65
profile,-0.064214242,4.74E-65
"little while ,",-0.064069213,1.86E-64
please post this,-0.06403052,1.27E-64
friends and family,-0.063933515,6.15E-64
have a great,-0.063901879,5.42E-64
cancer,-0.063880129,3.94E-64
prayer for,-0.063825121,4.35E-64
my husband,-0.063766741,2.59E-62
prayer,-0.063698688,1.13E-63
families,-0.063670057,9.24E-64
with the kids,-0.063335998,9.09E-63
count you,-0.063319394,3.74E-63
"while , but",-0.0633089,6.85E-63
only glad to,-0.063247439,5.34E-63
glad to count,-0.063109128,1.04E-62
but will hold,-0.063102089,1.78E-62
semester,0.134470846,5.51E-296
fuck,0.114964003,6.89E-209
21st,0.111239773,4.57E-201
this semester,0.110304221,9.32E-198
the semester,0.100290931,6.35E-163
21st birthday,0.09501568,1.11E-145
campus,0.093956167,1.29E-142
shit,0.091529993,4.29E-133
studying,0.090611529,3.33E-132
fucking,0.089636472,8.56E-127
classes,0.088087574,9.19E-125
apartment,0.083119862,7.44E-111
fuckin,0.082276547,1.79E-107
in the library,0.082077534,3.76E-108
exam,0.080464468,7.40E-104
next semester,0.078368343,2.25E-98
roommate,0.077952803,2.78E-97
of classes,0.077181298,2.74E-95
on campus,0.077109837,3.77E-95
study,0.07656078,1.18E-93
go to class,0.076216218,7.72E-93
uni,0.075675063,1.52E-91
of the semester,0.075585563,2.64E-91
